"plu","name"
"ud-493662","Ham - Smoked, Bone - In"
"lo-947424","Muffins - Assorted"
"nn-616081","Sauce - Vodka Blush"
"ma-078435","Pork Loin Cutlets"
"yc-814142","Muffin - Banana Nut Individual"
"vf-065366","Wine - Penfolds Koonuga Hill"
"le-880483","Octopus"
"sr-019892","Meldea Green Tea Liquor"
"dt-534792","Cherries - Maraschino,jar"
"ia-493038","Guinea Fowl"
"se-083601","Soup - Cream Of Potato / Leek"
"de-259609","Oil - Coconut"
"mb-172292","Wine - Magnotta - Cab Sauv"
"gt-261377","Cheese - Romano, Grated"
"be-764254","Wine - Red, Harrow Estates, Cab"
"az-711286","Chicken - Base"
"bt-168805","Food Colouring - Green"
"rk-617628","Pork - Shoulder"
"xl-357831","Cheese - Colby"
"gi-268651","Turkey - Breast, Boneless Sk On"
"tc-979074","Lotus Rootlets - Canned"
"tf-025770","Sherry - Dry"
"ft-748548","Olives - Stuffed"
"yd-270837","Parsnip"
"iy-971332","Wine - Fat Bastard Merlot"
"vl-679902","Pail - 15l White, With Handle"
"fk-577031","Kiwano"
"mn-237286","Pork - Loin, Boneless"
"wo-765119","Mustard - Seed"
"kl-105948","Container - Clear 32 Oz"
"ak-359725","Lentils - Green, Dry"
"tr-776957","Shiro Miso"
"lt-318623","Wine - White, Antinore Orvieto"
"fq-020489","Cheese - Goat With Herbs"
"je-753571","Wine - Lou Black Shiraz"
"ja-168822","Ice Cream Bar - Hagen Daz"
"so-062103","Wine - Piper Heidsieck Brut"
"cu-880340","Gin - Gilbeys London, Dry"
"zg-217287","Mints - Striped Red"
"cx-099381","Cookie Choc"
"sc-392996","Hersey Shakes"
"uo-889452","Chocolate Liqueur - Godet White"
"xa-737005","Ecolab - Ster Bac"
"ld-071184","Wine - Harrow Estates, Vidal"
"tw-859638","Cinnamon Buns Sticky"
"lc-297269","Longos - Chicken Cordon Bleu"
"kl-634460","Potato - Sweet"
"zs-426667","Capers - Ox Eye Daisy"
"xc-434189","Island Oasis - Pina Colada"
"yj-925132","Cookies - Englishbay Chochip"
"el-074849","Nut - Almond, Blanched, Ground"
"kn-293999","Broom Handle"
"ka-500801","Plasticknivesblack"
"jz-466129","Puree - Passion Fruit"
"fi-240675","Tomatoes - Cherry, Yellow"
"tv-311041","Curry Paste - Green Masala"
"xf-550495","Wine - White, Colubia Cresh"
"nl-609969","Quail - Whole, Boneless"
"mr-166169","Sesame Seed Black"
"br-690422","Beef - Ox Tongue"
"tm-097937","Wine - Ice Wine"
"qv-758117","Raisin - Dark"
"fc-727070","Ketchup - Tomato"
"ty-042369","Bar Mix - Pina Colada, 355 Ml"
"ur-299080","Wine - Vidal Icewine Magnotta"
"zh-987210","Red Currant Jelly"
"pc-923363","Scallops - U - 10"
"dl-031413","Jerusalem Artichoke"
"nr-441322","Bagels Poppyseed"
"jy-941269","Pork - Smoked Kassler"
"wh-157552","Jam - Raspberry"
"rd-284039","Long Island Ice Tea"
"oo-135216","Bacardi Breezer - Strawberry"
"qd-669353","Soup - Chicken And Wild Rice"
"rf-550937","Thyme - Lemon, Fresh"
"mx-577344","Bag Stand"
"ia-740929","Chocolate - Liqueur Cups With Foil"
"hv-452817","Yoghurt Tubes"
"iz-662606","Lettuce - Mini Greens, Whole"
"gv-250062","Halibut - Fletches"
"vp-612346","Loaf Pan - 2 Lb, Foil"
"cp-689286","Wine - Sogrape Mateus Rose"
"fj-457510","Sword Pick Asst"
"yi-525358","Tuna - Salad Premix"
"jk-706364","Flour - Rye"
"ku-931509","Lumpfish Black"
"ye-523006","Mushroom - Porcini Frozen"
"fk-765128","Sprite, Diet - 355ml"
"oq-683573","Squash - Butternut"
"id-658057","Spinach - Packaged"
"nr-799187","Arctic Char - Fresh, Whole"
"hd-338672","Wine - Barossa Valley Estate"
"un-410142","Duck - Legs"
"ei-158856","Radish - Pickled"
"ym-459775","Spice - Greek 1 Step"
"sm-981699","Wine - Shiraz South Eastern"
"sk-384395","Goulash Seasoning"
"lj-764852","Sausage - Meat"
"qt-762883","Wine - Zinfandel California 2002"
"mj-737186","Ginger - Crystalized"
"xx-929330","Lime Cordial - Roses"
"ei-757036","Cornflakes"
"qs-109831","Noodles - Steamed Chow Mein"
"uv-635115","Scallops 60/80 Iqf"
"jz-855996","Cake - Mini Potato Pancake"
"hd-908711","Shrimp, Dried, Small / Lb"
"xs-273251","Tea - Camomele"
"xz-133476","Pastry - Trippleberry Muffin - Mini"
"yt-218209","Muffin - Banana Nut Individual"
"fz-618283","Glass - Wine, Plastic, Clear 5 Oz"
"pv-054682","Ice Cream - Super Sandwich"
"wj-516984","Plastic Arrow Stir Stick"
"tq-328748","Soup - Beef, Base Mix"
"xq-798789","Sandwich Wrap"
"ip-095991","Chicken - Wings, Tip Off"
"ji-966137","Sparkling Wine - Rose, Freixenet"
"pg-881068","Baking Powder"
"cd-142153","Coffee - Hazelnut Cream"
"gk-427813","Tomatoes - Vine Ripe, Yellow"
"uc-994756","Bread - Italian Roll With Herbs"
"cl-163012","Beans - Wax"
"bi-192352","Mcgillicuddy Vanilla Schnap"
"vk-419470","Praline Paste"
"jv-350095","Yogurt - Blueberry, 175 Gr"
"lr-305054","Apples - Sliced / Wedge"
"ye-402488","Cheese - Ricotta"
"dp-637315","Appetizer - Lobster Phyllo Roll"
"ib-999029","Flour - All Purpose"
"fh-249036","Bread - White, Sliced"
"pi-830399","Potatoes - Yukon Gold, 80 Ct"
"cf-942854","Spring Roll Wrappers"
"ky-609767","Dasheen"
"fc-468682","Apple - Delicious, Red"
"yn-572002","Tofu - Soft"
"zw-454009","Goulash Seasoning"
"wn-274736","Appetiser - Bought"
"jv-145016","Foil - Round Foil"
"rm-322620","Sherbet - Raspberry"
"un-557086","Apple - Granny Smith"
"ff-465410","Lemon Pepper"
"ia-896684","Pastry - Carrot Muffin - Mini"
"tf-442663","Sugar Thermometer"
"ui-455008","Icecream - Dstk Cml And Fdg"
"vz-379132","Tart - Lemon"
"ay-696112","Kirsch - Schloss"
"ui-572139","Wine - Baron De Rothschild"
"kd-384622","Nacho Chips"
"sk-353085","Yogurt - Assorted Pack"
"ui-487467","Tea - Herbal Sweet Dreams"
"ov-574352","Fond - Chocolate"
"oc-887544","Appetizer - Seafood Assortment"
"lg-454538","Tamarind Paste"
"no-094559","Pork - Kidney"
"fm-654917","Tuna - Yellowfin"
"ca-846899","Pork - Bacon, Sliced"
"dt-592258","Puree - Strawberry"
"pj-872545","Tart - Lemon"
"ve-898806","Chicken Breast Halal"
"qe-377227","Lemonade - Island Tea, 591 Ml"
"ui-805124","Nut - Hazelnut, Ground, Natural"
"uh-757226","Chocolate Eclairs"
"aq-701496","Wine - Prem Select Charddonany"
"de-094043","Beer - Maudite"
"gt-810290","Water, Tap"
"sh-693099","Lid - 16 Oz And 32 Oz"
"kg-578203","Fish - Soup Base, Bouillon"
"ny-038049","Bonito Flakes - Toku Katsuo"
"ph-715659","Split Peas - Green, Dry"
"hc-672403","Venison - Ground"
"cf-260295","Veal - Eye Of Round"
"te-956831","Cookie Dough - Oatmeal Rasin"
"oz-256792","Miso Paste White"
"va-964777","Shiratamako - Rice Flour"
"tp-603363","Wine - Marlbourough Sauv Blanc"
"es-392478","Chocolate - Unsweetened"
"jz-988189","Basil - Fresh"
"uv-182636","Hold Up Tool Storage Rack"
"nz-242117","Sauce - Salsa"
"na-954622","Tart Shells - Savory, 2"
"ea-338123","Bread - Mini Hamburger Bun"
"kz-937205","Nescafe - Frothy French Vanilla"
"lg-920168","Wine - Cotes Du Rhone Parallele"
"lr-810947","Yucca"
"ge-144952","Vodka - Hot, Lnferno"
"uj-529584","Wine - Vovray Sec Domaine Huet"
"tw-755184","Lettuce - Boston Bib"
"if-677834","Pork - Backfat"
"qq-277581","Fish - Halibut, Cold Smoked"
"sx-733513","Wine - Delicato Merlot"
"mo-876949","Mountain Dew"
"wk-479879","Carbonated Water - Cherry"
"se-588172","Juice - Tomato, 10 Oz"
"fz-985623","Bread - Raisin"
"ii-127800","Sugar - Fine"
"cq-093175","Wine - Fino Tio Pepe Gonzalez"
"qm-582234","Tomato - Green"
"wx-568123","Thyme - Fresh"
"hy-608950","Pepper - Chilli Seeds Mild"
"rr-201072","Muffin Mix - Lemon Cranberry"
"eb-810362","Wine - White, Riesling, Semi - Dry"
"bz-687537","Bandage - Flexible Neon"
"nd-381023","Plaintain"
"yz-648881","Cookie - Oreo 100x2"
"qp-380721","Crab Meat Claw Pasteurise"
"yf-387410","Pork - Bacon,back Peameal"
"gj-404942","Sprouts - Peppercress"
"cr-318267","Cookie - Dough Variety"
"qc-260715","Aspic - Light"
"oa-262927","Tortillas - Flour, 8"
"wu-949406","Ginger - Fresh"
"zr-183849","Roe - Lump Fish, Red"
"sk-231357","Plasticknivesblack"
"zo-821288","Nori Sea Weed - Gold Label"
"eu-393932","Yogurt - Banana, 175 Gr"
"dn-878502","Muffin - Mix - Mango Sour Cherry"
"jn-725533","Bag Stand"
"gk-392260","Longos - Grilled Salmon With Bbq"
"rv-413877","Fish - Soup Base, Bouillon"
"xv-394831","Sobe - Berry Energy"
"mj-355484","Nectarines"
"cx-933615","Chocolate Eclairs"
"gi-990968","Lobster - Cooked"
"nl-423391","Beans - Kidney, Red Dry"
"yi-292687","Veal - Leg"
"zt-935444","Lamb Shoulder Boneless Nz"
"st-894573","Shrimp - Baby, Warm Water"
"lf-298761","Clam Nectar"
"il-937261","Tobasco Sauce"
"op-984844","Beef - Cow Feet Split"
"vl-443754","Veal - Chops, Split, Frenched"
"aa-946079","Lettuce - Spring Mix"
"nj-607551","Urban Zen Drinks"
"ul-882656","Bread - English Muffin"
"ap-080013","Calaloo"
"gj-054914","Pork Salted Bellies"
"sj-715164","Tray - Foam, Square 4 - S"
"kb-655009","Crackers - Melba Toast"
"st-583349","Gherkin - Sour"
"no-105821","Mushroom - Enoki, Dry"
"js-922029","Yeast Dry - Fleischman"
"fe-609814","Coffee - Hazelnut Cream"
"ls-777346","Chicken - Soup Base"
"mj-841219","Chicken - Whole Roasting"
"qk-265151","Sobe - Orange Carrot"
"jw-393830","Bread - Pumpernickle, Rounds"
"jm-957535","Juice - Apple, 500 Ml"
"cl-859063","Ice Cream Bar - Oreo Cone"
"cg-061627","Langers - Mango Nectar"
"vb-014308","Tart Shells - Savory, 2"
"vb-571204","Cheese - Bakers Cream Cheese"
"ed-162830","Pork - Tenderloin, Frozen"
"ie-838933","Beans - Black Bean, Preserved"
"oq-827517","Bay Leaf Fresh"
"en-297565","Dill Weed - Fresh"
"ix-786849","Wine - Savigny - Les - Beaune"
"qc-535670","Cocoa Feuilletine"
"fs-795582","Table Cloth 53x69 White"
"ft-439017","Dish Towel"
"pm-429172","Fish - Scallops, Cold Smoked"
"ex-396175","Wine - Red, Colio Cabernet"
"dl-339703","Coffee - Beans, Whole"
"tj-598155","Vermouth - Sweet, Cinzano"
"bn-656697","Beans - Navy, Dry"
"av-220405","Wine - White, Chardonnay"
"rr-838043","Rice - Sushi"
"sw-846235","Gherkin - Sour"
"xh-191775","Raisin - Dark"
"xt-786636","Nantucket Apple Juice"
"uf-670660","Cognac - Courvaisier"
"rw-294748","Beer - True North Lager"
"aw-276407","Crab Brie In Phyllo"
"md-811710","Water - Evian 355 Ml"
"de-604618","Beef - Kobe Striploin"
"cb-891430","Lidsoupcont Rp12dn"
"xn-415959","Swiss Chard"
"ro-471477","Durian Fruit"
"pg-736028","Cheese - Ermite Bleu"
"ih-474011","Appetizer - Cheese Bites"
"op-430626","Papadam"
"jx-954922","Glaze - Clear"
"ia-747500","Wine - Domaine Boyar Royal"
"cs-175006","Cheese - Comtomme"
"tz-704014","Cocoa Feuilletine"
"qz-541873","Schnappes - Peach, Walkers"
"gn-179697","Wine - Magnotta - Cab Sauv"
"uy-788085","Salt And Pepper Mix - Black"
"ix-511372","Water - Mineral, Carbonated"
"mm-304910","Pasta - Detalini, White, Fresh"
"js-279659","Soup - Campbells Asian Noodle"
"dn-061888","Pastry - Cherry Danish - Mini"
"or-989346","Beer - Upper Canada Light"
"li-409471","Rabbit - Saddles"
"hg-000396","Beef - Ground, Extra Lean, Fresh"
"yl-516787","Syrup - Monin, Amaretta"
"fc-529044","Wine - Blue Nun Qualitatswein"
"ik-892864","Beer - Pilsner Urquell"
"sa-570955","Ginsing - Fresh"
"hq-598402","Pepper - Paprika, Hungarian"
"vw-978378","Pears - Bosc"
"it-521011","Wine - Prem Select Charddonany"
"bu-012075","Macaroons - Two Bite Choc"
"zx-588344","Sprouts - Bean"
"uc-230224","Sauce - White, Mix"
"od-176772","Chambord Royal"
"hs-524117","Mushroom - Morel Frozen"
"sc-489074","Pork - Tenderloin, Fresh"
"ng-240547","Lamb - Sausage Casings"
"gk-012903","Swiss Chard - Red"
"nm-447032","Cookies - Englishbay Chochip"
"sn-015676","Curry Paste - Green Masala"
"jg-459846","Lamb - Racks, Frenched"
"lo-247428","Tortillas - Flour, 8"
"pq-562119","Sugar - Cubes"
"jj-013004","Sauce - Gravy, Au Jus, Mix"
"uh-077694","Pork - Sausage, Medium"
"hb-126881","Tomatoes - Diced, Canned"
"ec-808292","Marzipan 50/50"
"py-456415","Cheese - Le Cru Du Clocher"
"vi-064332","Wasabi Powder"
"se-188855","Table Cloth 144x90 White"
"wx-493629","Wine - Vovray Sec Domaine Huet"
"vg-394146","Glove - Cutting"
"sd-851933","Chocolate - Sugar Free Semi Choc"
"dg-464661","Pepper - Scotch Bonnet"
"pr-560870","Island Oasis - Mango Daiquiri"
"ls-151036","Lamb Shoulder Boneless Nz"
"tq-584185","Tea - Herbal Sweet Dreams"
"fi-630229","Tart - Lemon"
"sl-060593","Lamb - Leg, Boneless"
"xp-141692","Brocolinni - Gaylan, Chinese"
"mx-804179","Food Colouring - Blue"
"ro-579935","Mangostein"
"wz-808514","Mousse - Mango"
"zg-567469","Phyllo Dough"
"ep-574927","Sea Urchin"
"wv-168421","Wine - Mondavi Coastal Private"
"xw-579063","Tart Shells - Savory, 4"
"jy-357546","Brandy - Bar"
"nu-782081","Wine - Charddonnay Errazuriz"
"go-564197","Worcestershire Sauce"
"fw-423730","Water - Tonic"
"jv-228502","Sultanas"
"mo-257518","Bar Nature Valley"
"bv-751103","Schnappes - Peach, Walkers"
"fw-774351","Gingerale - Schweppes, 355 Ml"
"pp-833393","Wine - Red, Gallo, Merlot"
"aw-040013","Oil - Macadamia"
"dy-155904","Iced Tea - Lemon, 460 Ml"
"nl-855916","Vaccum Bag - 14x20"
"gv-115301","Flour - Strong"
"zb-195781","Flour - Strong"
"wj-642756","Glass - Juice Clear 5oz 55005"
"zl-910786","Lemon Pepper"
"ph-954966","Lettuce - Spring Mix"
"rg-044750","Wine - Rhine Riesling Wolf Blass"
"yh-142154","Carbonated Water - Orange"
"ss-555450","Squash - Sunburst"
"xg-271845","Fudge - Cream Fudge"
"sd-803526","Pork - Loin, Center Cut"
"cn-205151","Pomello"
"ie-364704","Red Currant Jelly"
"ul-571974","Celery Root"
"jz-447299","Coffee Decaf Colombian"
"oj-284032","Kiwi"
"bg-978880","Sprite - 355 Ml"
"xn-666808","Flour - Buckwheat, Dark"
"ls-318181","Bread - White, Sliced"
"tl-253815","Cheese - Roquefort Pappillon"
"ib-644328","Sugar - Invert"
"ls-437027","Potatoes - Purple, Organic"
"nt-337730","Eggwhite Frozen"
"xb-144840","Oil - Macadamia"
"tx-175104","Wine - Chateau Aqueria Tavel"
"xl-780757","Pepper - Red Bell"
"gp-962743","Marjoram - Dried, Rubbed"
"pl-204744","Radish - Pickled"
"sb-913639","Cheese - Mozzarella"
"jb-620922","Carbonated Water - Orange"
"mq-095758","Mangostein"
"qf-404829","Bread - Focaccia Quarter"
"kc-656524","Tomato Puree"
"fi-985460","Schnappes Peppermint - Walker"
"yu-738462","Nut - Hazelnut, Ground, Natural"
"pv-542998","Appetizer - Seafood Assortment"
"by-803816","Juice - Cranberry 284ml"
"fn-832911","Leeks - Baby, White"
"zy-508409","Huck White Towels"
"aw-813653","Wine - Vovray Sec Domaine Huet"
"fp-746123","Pasta - Fettuccine, Egg, Fresh"
"kv-780467","Beef - Cow Feet Split"
"kr-863181","Beans - Yellow"
"lf-005149","Appetizer - Seafood Assortment"
"xp-317182","Daves Island Stinger"
"hh-974861","Bread - Sour Sticks With Onion"
"bp-691280","Hand Towel"
"cf-241776","Hersey Shakes"
"zl-749436","Wine - Black Tower Qr"
"si-894527","Wine - Sake"
"aj-932591","Muffin Mix - Morning Glory"
"jv-101955","Dc - Sakura Fu"
"di-561080","Mop Head - Cotton, 24 Oz"
"rq-622884","Cleaner - Comet"
"ve-986341","Mushroom - Oyster, Fresh"
"hq-538676","Cake Slab"
"js-680096","Beef - Tongue, Fresh"
"kd-215932","Bread - White Mini Epi"
"gi-186664","Veal - Ground"
"iy-393555","Wine - Zonnebloem Pinotage"
"bq-199417","Corn - Cream, Canned"
"km-613501","Croissants Thaw And Serve"
"vb-312168","Nut - Pumpkin Seeds"
"vv-032213","Nut - Hazelnut, Ground, Natural"
"tf-575029","Tomato - Green"
"as-513461","Swordfish Loin Portions"
"xw-584373","Split Peas - Yellow, Dry"
"iz-731210","Schnappes Peppermint - Walker"
"jj-995838","Soda Water - Club Soda, 355 Ml"
"qb-782811","Cookie Trail Mix"
"ac-345302","Appetizer - Crab And Brie"
"vh-374071","Beef - Bresaola"
"ng-417401","Monkfish Fresh - Skin Off"
"qk-225685","Vector Energy Bar"
"tx-136871","Onions - Red Pearl"
"ls-952527","Sauce - Mint"
"cr-445202","Tofu - Soft"
"wl-294454","Coffee Caramel Biscotti"
"hg-089054","Brownies - Two Bite, Chocolate"
"ww-851834","Pastry - Baked Scones - Mini"
